class,threshold,tp,fp,fn,precision,recall,f1,jaccard,fp_per_image,fn_per_image
Squamous Epithelial Cell,0.46000000834465027,195,6,9,0.9701492537313433,0.9558823529411765,0.962962962962963,0.9285714285714286,0.11320754716981132,0.16981132075471697
Squamous Epithelial Cell,0.4699999988079071,194,6,10,0.97,0.9509803921568627,0.9603960396039604,0.9238095238095239,0.11320754716981132,0.18867924528301888
Squamous Epithelial Cell,0.47999998927116394,194,6,10,0.97,0.9509803921568627,0.9603960396039604,0.9238095238095239,0.11320754716981132,0.18867924528301888
Squamous Epithelial Cell,0.49000000953674316,194,5,10,0.9748743718592965,0.9509803921568627,0.9627791563275433,0.9282296650717703,0.09433962264150944,0.18867924528301888
Squamous Epithelial Cell,0.5,194,4,10,0.9797979797979798,0.9509803921568627,0.9651741293532337,0.9326923076923077,0.07547169811320754,0.18867924528301888
Squamous Epithelial Cell,0.5099999904632568,194,4,10,0.9797979797979798,0.9509803921568627,0.9651741293532337,0.9326923076923077,0.07547169811320754,0.18867924528301888
Squamous Epithelial Cell,0.5199999809265137,193,3,11,0.9846938775510204,0.946078431372549,0.9649999999999999,0.9323671497584541,0.05660377358490566,0.20754716981132076
Squamous Epithelial Cell,0.5299999713897705,192,3,12,0.9846153846153847,0.9411764705882353,0.962406015037594,0.927536231884058,0.05660377358490566,0.22641509433962265
Squamous Epithelial Cell,0.5400000214576721,192,3,12,0.9846153846153847,0.9411764705882353,0.962406015037594,0.927536231884058,0.05660377358490566,0.22641509433962265
Squamous Epithelial Cell,0.550000011920929,192,3,12,0.9846153846153847,0.9411764705882353,0.962406015037594,0.927536231884058,0.05660377358490566,0.22641509433962265
Squamous Epithelial Cell,0.5600000023841858,191,2,13,0.9896373056994818,0.9362745098039216,0.9622166246851386,0.9271844660194175,0.03773584905660377,0.24528301886792453
Squamous Epithelial Cell,0.5699999928474426,191,2,13,0.9896373056994818,0.9362745098039216,0.9622166246851386,0.9271844660194175,0.03773584905660377,0.24528301886792453
Squamous Epithelial Cell,0.5799999833106995,191,2,13,0.9896373056994818,0.9362745098039216,0.9622166246851386,0.9271844660194175,0.03773584905660377,0.24528301886792453
Squamous Epithelial Cell,0.5899999737739563,191,2,13,0.9896373056994818,0.9362745098039216,0.9622166246851386,0.9271844660194175,0.03773584905660377,0.24528301886792453
Squamous Epithelial Cell,0.6000000238418579,191,2,13,0.9896373056994818,0.9362745098039216,0.9622166246851386,0.9271844660194175,0.03773584905660377,0.24528301886792453
Squamous Epithelial Cell,0.6100000143051147,191,2,13,0.9896373056994818,0.9362745098039216,0.9622166246851386,0.9271844660194175,0.03773584905660377,0.24528301886792453
Squamous Epithelial Cell,0.6200000047683716,190,2,14,0.9895833333333334,0.9313725490196079,0.9595959595959597,0.9223300970873787,0.03773584905660377,0.2641509433962264
Squamous Epithelial Cell,0.6299999952316284,188,2,16,0.9894736842105263,0.9215686274509803,0.9543147208121827,0.912621359223301,0.03773584905660377,0.3018867924528302
Squamous Epithelial Cell,0.6399999856948853,188,2,16,0.9894736842105263,0.9215686274509803,0.9543147208121827,0.912621359223301,0.03773584905660377,0.3018867924528302
Squamous Epithelial Cell,0.6499999761581421,188,2,16,0.9894736842105263,0.9215686274509803,0.9543147208121827,0.912621359223301,0.03773584905660377,0.3018867924528302
Squamous Epithelial Cell,0.6600000262260437,188,2,16,0.9894736842105263,0.9215686274509803,0.9543147208121827,0.912621359223301,0.03773584905660377,0.3018867924528302
Squamous Epithelial Cell,0.6700000166893005,188,2,16,0.9894736842105263,0.9215686274509803,0.9543147208121827,0.912621359223301,0.03773584905660377,0.3018867924528302
Squamous Epithelial Cell,0.6800000071525574,188,2,16,0.9894736842105263,0.9215686274509803,0.9543147208121827,0.912621359223301,0.03773584905660377,0.3018867924528302
